      W(GeV)       theta(degrees)  [diff](nb)
    0.41860E+01    0.15949E+03    0.19186E-01
    0.41860E+01    0.16369E+03    0.18941E-01
    0.41860E+01    0.16798E+03    0.18750E-01
    0.41860E+01    0.17230E+03    0.18617E-01
    0.41860E+01    0.17664E+03    0.18543E-01
    0.42360E+01    0.47495E-01    0.18951E+00
    0.42360E+01    0.10875E+00    0.18951E+00
    0.42360E+01    0.16974E+00    0.18951E+00
    0.42360E+01    0.22981E+00    0.18951E+00
    0.42360E+01    0.28857E+00    0.18950E+00
    0.42360E+01    0.34565E+00    0.18950E+00
    0.42360E+01    0.40072E+00    0.18949E+00
    0.42360E+01    0.45343E+00    0.18949E+00
    0.42360E+01    0.50349E+00    0.18948E+00
    0.42360E+01    0.55060E+00    0.18947E+00
    0.42360E+01    0.59448E+00    0.18947E+00
    0.42360E+01    0.63487E+00    0.18946E+00
    0.42360E+01    0.67154E+00    0.18946E+00
    0.42360E+01    0.70427E+00    0.18945E+00
    0.42360E+01    0.73287E+00    0.18944E+00
    0.42360E+01    0.75716E+00    0.18944E+00
    0.42360E+01    0.77702E+00    0.18944E+00
    0.42360E+01    0.79231E+00    0.18943E+00
    0.42360E+01    0.80296E+00    0.18943E+00
    0.42360E+01    0.80890E+00    0.18943E+00
    0.42360E+01    0.82272E+00    0.18943E+00
    0.42360E+01    0.87351E+00    0.18942E+00
    0.42360E+01    0.95702E+00    0.18940E+00
    0.42360E+01    0.10639E+01    0.18937E+00
    0.42360E+01    0.11858E+01    0.18933E+00
    0.42360E+01    0.13160E+01    0.18929E+00
    0.42360E+01    0.14498E+01    0.18924E+00
    0.42360E+01    0.15834E+01    0.18919E+00
    0.42360E+01    0.17141E+01    0.18914E+00
    0.42360E+01    0.18399E+01    0.18908E+00
    0.42360E+01    0.19590E+01    0.18902E+00
    0.42360E+01    0.20699E+01    0.18896E+00
    0.42360E+01    0.21716E+01    0.18891E+00
    0.42360E+01    0.22630E+01    0.18886E+00
    0.42360E+01    0.23433E+01    0.18881E+00
    0.42360E+01    0.24118E+01    0.18877E+00
    0.42360E+01    0.24680E+01    0.18873E+00
    0.42360E+01    0.25114E+01    0.18871E+00
    0.42360E+01    0.25417E+01    0.18869E+00
    0.42360E+01    0.25586E+01    0.18868E+00
    0.42360E+01    0.26019E+01    0.18865E+00
    0.42360E+01    0.27625E+01    0.18854E+00
    0.42360E+01    0.30267E+01    0.18834E+00
    0.42360E+01    0.33648E+01    0.18807E+00
    0.42360E+01    0.37504E+01    0.18772E+00
    0.42360E+01    0.41625E+01    0.18731E+00
    0.42360E+01    0.45857E+01    0.18685E+00
    0.42360E+01    0.50085E+01    0.18634E+00
    0.42360E+01    0.54224E+01    0.18580E+00
    0.42360E+01    0.58206E+01    0.18525E+00
    0.42360E+01    0.61975E+01    0.18469E+00
    0.42360E+01    0.65489E+01    0.18415E+00
    0.42360E+01    0.68708E+01    0.18362E+00
    0.42360E+01    0.71604E+01    0.18313E+00
    0.42360E+01    0.74148E+01    0.18268E+00
    0.42360E+01    0.76320E+01    0.18229E+00
    0.42360E+01    0.78101E+01    0.18196E+00
    0.42360E+01    0.79476E+01    0.18170E+00
    0.42360E+01    0.80435E+01    0.18152E+00
    0.42360E+01    0.80970E+01    0.18142E+00
    0.42360E+01    0.82342E+01    0.18115E+00
    0.42360E+01    0.87435E+01    0.18014E+00
    0.42360E+01    0.95812E+01    0.17835E+00
    0.42360E+01    0.10654E+02    0.17589E+00
    0.42360E+01    0.11879E+02    0.17284E+00
    0.42360E+01    0.13189E+02    0.16934E+00
    0.42360E+01    0.14536E+02    0.16552E+00
    0.42360E+01    0.15884E+02    0.16151E+00
    0.42360E+01    0.17205E+02    0.15744E+00
    0.42360E+01    0.18478E+02    0.15341E+00
    0.42360E+01    0.19685E+02    0.14952E+00
    0.42360E+01    0.20812E+02    0.14586E+00
    0.42360E+01    0.21847E+02    0.14248E+00
    0.42360E+01    0.22778E+02    0.13945E+00
    0.42360E+01    0.23598E+02    0.13678E+00
    0.42360E+01    0.24298E+02    0.13452E+00
    0.42360E+01    0.24873E+02    0.13267E+00
    0.42360E+01    0.25318E+02    0.13124E+00
    0.42360E+01    0.25628E+02    0.13025E+00
    0.42360E+01    0.25801E+02    0.12970E+00
    0.42360E+01    0.26245E+02    0.12830E+00
    0.42360E+01    0.27897E+02    0.12315E+00
    0.42360E+01    0.30627E+02    0.11500E+00
    0.42360E+01    0.34147E+02    0.10525E+00
    0.42360E+01    0.38201E+02    0.95204E-01
    0.42360E+01    0.42589E+02    0.85771E-01
    0.42360E+01    0.47165E+02    0.77399E-01
    0.42360E+01    0.51817E+02    0.70195E-01
    0.42360E+01    0.56461E+02    0.64081E-01
    0.42360E+01    0.61024E+02    0.58908E-01
    0.42360E+01    0.65445E+02    0.54523E-01
    0.42360E+01    0.69666E+02    0.50802E-01
    0.42360E+01    0.73630E+02    0.47647E-01
    0.42360E+01    0.77284E+02    0.44989E-01
    0.42360E+01    0.80574E+02    0.42776E-01
    0.42360E+01    0.83445E+02    0.40970E-01
    0.42360E+01    0.85848E+02    0.39542E-01
    0.42360E+01    0.87736E+02    0.38470E-01
    0.42360E+01    0.89071E+02    0.37738E-01
    0.42360E+01    0.89823E+02    0.37334E-01
    0.42360E+01    0.90098E+02    0.37188E-01
    0.42360E+01    0.90516E+02    0.36968E-01
    0.42360E+01    0.91257E+02    0.36582E-01
    0.42360E+01    0.92305E+02    0.36047E-01
    0.42360E+01    0.93636E+02    0.35384E-01
    0.42360E+01    0.95220E+02    0.34619E-01
    0.42360E+01    0.97024E+02    0.33779E-01
    0.42360E+01    0.99008E+02    0.32892E-01
    0.42360E+01    0.10113E+03    0.31984E-01
    0.42360E+01    0.10335E+03    0.31080E-01
    0.42360E+01    0.10561E+03    0.30201E-01
    0.42360E+01    0.10788E+03    0.29367E-01
    0.42360E+01    0.11009E+03    0.28592E-01
    0.42360E+01    0.11219E+03    0.27889E-01
    0.42360E+01    0.11414E+03    0.27268E-01
    0.42360E+01    0.11589E+03    0.26737E-01
    0.42360E+01    0.11737E+03    0.26301E-01
    0.42360E+01    0.11856E+03    0.25965E-01
    0.42360E+01    0.11941E+03    0.25730E-01
    0.42360E+01    0.11989E+03    0.25600E-01
    0.42360E+01    0.12011E+03    0.25538E-01
    0.42360E+01    0.12060E+03    0.25409E-01
    0.42360E+01    0.12146E+03    0.25181E-01
    0.42360E+01    0.12270E+03    0.24864E-01
    0.42360E+01    0.12429E+03    0.24470E-01
    0.42360E+01    0.12623E+03    0.24013E-01
    0.42360E+01    0.12848E+03    0.23508E-01
    0.42360E+01    0.13104E+03    0.22972E-01
    0.42360E+01    0.13387E+03    0.22419E-01
    0.42360E+01    0.13696E+03    0.21866E-01
    0.42360E+01    0.14028E+03    0.21326E-01
    0.42360E+01    0.14380E+03    0.20810E-01
    0.42360E+01    0.14750E+03    0.20329E-01
    0.42360E+01    0.15137E+03    0.19891E-01
    0.42360E+01    0.15537E+03    0.19502E-01
    0.42360E+01    0.15949E+03    0.19168E-01
    0.42360E+01    0.16369E+03    0.18894E-01
    0.42360E+01    0.16798E+03    0.18682E-01
    0.42360E+01    0.17230E+03    0.18534E-01
    0.42360E+01    0.17664E+03    0.18451E-01
    0.42860E+01    0.47495E-01    0.27365E+00
    0.42860E+01    0.10875E+00    0.27365E+00
    0.42860E+01    0.16974E+00    0.27364E+00
    0.42860E+01    0.22981E+00    0.27364E+00
    0.42860E+01    0.28857E+00    0.27363E+00
    0.42860E+01    0.34565E+00    0.27362E+00
    0.42860E+01    0.40072E+00    0.27361E+00
    0.42860E+01    0.45343E+00    0.27360E+00
    0.42860E+01    0.50349E+00    0.27359E+00
    0.42860E+01    0.55060E+00    0.27357E+00
    0.42860E+01    0.59448E+00    0.27356E+00
    0.42860E+01    0.63487E+00    0.27355E+00
    0.42860E+01    0.67154E+00    0.27354E+00
    0.42860E+01    0.70427E+00    0.27353E+00
    0.42860E+01    0.73287E+00    0.27352E+00
    0.42860E+01    0.75716E+00    0.27351E+00
    0.42860E+01    0.77702E+00    0.27350E+00
    0.42860E+01    0.79231E+00    0.27350E+00
    0.42860E+01    0.80296E+00    0.27349E+00
    0.42860E+01    0.80890E+00    0.27349E+00
    0.42860E+01    0.82272E+00    0.27348E+00
    0.42860E+01    0.87351E+00    0.27346E+00
    0.42860E+01    0.95702E+00    0.27343E+00
    0.42860E+01    0.10639E+01    0.27337E+00
    0.42860E+01    0.11858E+01    0.27331E+00
    0.42860E+01    0.13160E+01    0.27323E+00
    0.42860E+01    0.14498E+01    0.27314E+00
    0.42860E+01    0.15834E+01    0.27304E+00
    0.42860E+01    0.17141E+01    0.27293E+00
    0.42860E+01    0.18399E+01    0.27282E+00
    0.42860E+01    0.19590E+01    0.27271E+00
    0.42860E+01    0.20699E+01    0.27260E+00
    0.42860E+01    0.21716E+01    0.27250E+00
    0.42860E+01    0.22630E+01    0.27240E+00
    0.42860E+01    0.23433E+01    0.27231E+00
    0.42860E+01    0.24118E+01    0.27223E+00
    0.42860E+01    0.24680E+01    0.27217E+00
    0.42860E+01    0.25114E+01    0.27211E+00
    0.42860E+01    0.25417E+01    0.27208E+00
    0.42860E+01    0.25586E+01    0.27206E+00
    0.42860E+01    0.26019E+01    0.27200E+00
    0.42860E+01    0.27625E+01    0.27179E+00
    0.42860E+01    0.30267E+01    0.27142E+00
    0.42860E+01    0.33648E+01    0.27090E+00
    0.42860E+01    0.37504E+01    0.27025E+00
    0.42860E+01    0.41625E+01    0.26947E+00
    0.42860E+01    0.45857E+01    0.26859E+00
    0.42860E+01    0.50085E+01    0.26763E+00
    0.42860E+01    0.54224E+01    0.26661E+00
    0.42860E+01    0.58206E+01    0.26557E+00
    0.42860E+01    0.61975E+01    0.26452E+00
    0.42860E+01    0.65489E+01    0.26349E+00
    0.42860E+01    0.68708E+01    0.26250E+00
    0.42860E+01    0.71604E+01    0.26158E+00
    0.42860E+01    0.74148E+01    0.26074E+00
    0.42860E+01    0.76320E+01    0.26000E+00
    0.42860E+01    0.78101E+01    0.25938E+00
    0.42860E+01    0.79476E+01    0.25890E+00
    0.42860E+01    0.80435E+01    0.25856E+00
    0.42860E+01    0.80970E+01    0.25837E+00
    0.42860E+01    0.82342E+01    0.25787E+00
    0.42860E+01    0.87435E+01    0.25597E+00
    0.42860E+01    0.95812E+01    0.25265E+00
    0.42860E+01    0.10654E+02    0.24807E+00
    0.42860E+01    0.11879E+02    0.24246E+00
    0.42860E+01    0.13189E+02    0.23605E+00
    0.42860E+01    0.14536E+02    0.22912E+00
    0.42860E+01    0.15884E+02    0.22190E+00
    0.42860E+01    0.17205E+02    0.21464E+00
    0.42860E+01    0.18478E+02    0.20754E+00
    0.42860E+01    0.19685E+02    0.20075E+00
    0.42860E+01    0.20812E+02    0.19442E+00
    0.42860E+01    0.21847E+02    0.18865E+00
    0.42860E+01    0.22778E+02    0.18349E+00
    0.42860E+01    0.23598E+02    0.17901E+00
    0.42860E+01    0.24298E+02    0.17522E+00
    0.42860E+01    0.24873E+02    0.17215E+00
    0.42860E+01    0.25318E+02    0.16979E+00
    0.42860E+01    0.25628E+02    0.16817E+00
    0.42860E+01    0.25801E+02    0.16726E+00
    0.42860E+01    0.26245E+02    0.16496E+00
    0.42860E+01    0.27897E+02    0.15662E+00
    0.42860E+01    0.30627E+02    0.14370E+00
    0.42860E+01    0.34147E+02    0.12874E+00
    0.42860E+01    0.38201E+02    0.11391E+00
    0.42860E+01    0.42589E+02    0.10056E+00
    0.42860E+01    0.47165E+02    0.89165E-01
    0.42860E+01    0.51817E+02    0.79704E-01
    0.42860E+01    0.56461E+02    0.71898E-01
    0.42860E+01    0.61024E+02    0.65429E-01
    0.42860E+01    0.65445E+02    0.60029E-01
    0.42860E+01    0.69666E+02    0.55493E-01
    0.42860E+01    0.73630E+02    0.51678E-01
    0.42860E+01    0.77284E+02    0.48484E-01
    0.42860E+01    0.80574E+02    0.45840E-01
    0.42860E+01    0.83445E+02    0.43692E-01
    0.42860E+01    0.85848E+02    0.42000E-01
    0.42860E+01    0.87736E+02    0.40735E-01
    0.42860E+01    0.89071E+02    0.39873E-01
    0.42860E+01    0.89823E+02    0.39399E-01
    0.42860E+01    0.90098E+02    0.39228E-01
    0.42860E+01    0.90516E+02    0.38969E-01
    0.42860E+01    0.91257E+02    0.38517E-01
    0.42860E+01    0.92305E+02    0.37891E-01
    0.42860E+01    0.93636E+02    0.37117E-01
    0.42860E+01    0.95220E+02    0.36226E-01
    0.42860E+01    0.97024E+02    0.35250E-01
    0.42860E+01    0.99008E+02    0.34223E-01
    0.42860E+01    0.10113E+03    0.33176E-01
    0.42860E+01    0.10335E+03    0.32138E-01
    0.42860E+01    0.10561E+03    0.31132E-01
    0.42860E+01    0.10788E+03    0.30181E-01
    0.42860E+01    0.11009E+03    0.29301E-01
    0.42860E+01    0.11219E+03    0.28505E-01
    0.42860E+01    0.11414E+03    0.27806E-01
    0.42860E+01    0.11589E+03    0.27209E-01
    0.42860E+01    0.11737E+03    0.26720E-01
    0.42860E+01    0.11856E+03    0.26344E-01
    0.42860E+01    0.11941E+03    0.26082E-01
    0.42860E+01    0.11989E+03    0.25936E-01
    0.42860E+01    0.12011E+03    0.25867E-01
    0.42860E+01    0.12060E+03    0.25723E-01
    0.42860E+01    0.12146E+03    0.25469E-01
    0.42860E+01    0.12270E+03    0.25117E-01
    0.42860E+01    0.12429E+03    0.24680E-01
    0.42860E+01    0.12623E+03    0.24174E-01
    0.42860E+01    0.12848E+03    0.23617E-01
    0.42860E+01    0.13104E+03    0.23027E-01
    0.42860E+01    0.13387E+03    0.22422E-01
    0.42860E+01    0.13696E+03    0.21818E-01
    0.42860E+01    0.14028E+03    0.21230E-01
    0.42860E+01    0.14380E+03    0.20671E-01
    0.42860E+01    0.14750E+03    0.20151E-01
    0.42860E+01    0.15137E+03    0.19678E-01
    0.42860E+01    0.15537E+03    0.19261E-01
    0.42860E+01    0.15949E+03    0.18904E-01
    0.42860E+01    0.16369E+03    0.18610E-01
    0.42860E+01    0.16798E+03    0.18384E-01
    0.42860E+01    0.17230E+03    0.18226E-01
    0.42860E+01    0.17664E+03    0.18138E-01
    0.43360E+01    0.47495E-01    0.38164E+00
    0.43360E+01    0.10875E+00    0.38163E+00
    0.43360E+01    0.16974E+00    0.38163E+00
    0.43360E+01    0.22981E+00    0.38161E+00
    0.43360E+01    0.28857E+00    0.38160E+00
    0.43360E+01    0.34565E+00    0.38159E+00
    0.43360E+01    0.40072E+00    0.38157E+00
    0.43360E+01    0.45343E+00    0.38155E+00
    0.43360E+01    0.50349E+00    0.38153E+00
    0.43360E+01    0.55060E+00    0.38151E+00
    0.43360E+01    0.59448E+00    0.38149E+00
    0.43360E+01    0.63487E+00    0.38147E+00
    0.43360E+01    0.67154E+00    0.38145E+00
    0.43360E+01    0.70427E+00    0.38143E+00
    0.43360E+01    0.73287E+00    0.38141E+00
    0.43360E+01    0.75716E+00    0.38139E+00
    0.43360E+01    0.77702E+00    0.38138E+00
    0.43360E+01    0.79231E+00    0.38137E+00
    0.43360E+01    0.80296E+00    0.38136E+00
    0.43360E+01    0.80890E+00    0.38136E+00
    0.43360E+01    0.82272E+00    0.38135E+00
    0.43360E+01    0.87351E+00    0.38131E+00
    0.43360E+01    0.95702E+00    0.38125E+00
    0.43360E+01    0.10639E+01    0.38116E+00
    0.43360E+01    0.11858E+01    0.38104E+00
    0.43360E+01    0.13160E+01    0.38090E+00
    0.43360E+01    0.14498E+01    0.38074E+00
    0.43360E+01    0.15834E+01    0.38057E+00
    0.43360E+01    0.17141E+01    0.38039E+00
    0.43360E+01    0.18399E+01    0.38020E+00
    0.43360E+01    0.19590E+01    0.38001E+00
    0.43360E+01    0.20699E+01    0.37982E+00
    0.43360E+01    0.21716E+01    0.37964E+00
    0.43360E+01    0.22630E+01    0.37947E+00
    0.43360E+01    0.23433E+01    0.37931E+00
    0.43360E+01    0.24118E+01    0.37917E+00
    0.43360E+01    0.24680E+01    0.37906E+00
    0.43360E+01    0.25114E+01    0.37897E+00
    0.43360E+01    0.25417E+01    0.37890E+00
    0.43360E+01    0.25586E+01    0.37887E+00
    0.43360E+01    0.26019E+01    0.37877E+00
    0.43360E+01    0.27625E+01    0.37841E+00
    0.43360E+01    0.30267E+01    0.37777E+00
    0.43360E+01    0.33648E+01    0.37687E+00
    0.43360E+01    0.37504E+01    0.37572E+00
    0.43360E+01    0.41625E+01    0.37437E+00
    0.43360E+01    0.45857E+01    0.37285E+00
    0.43360E+01    0.50085E+01    0.37119E+00
    0.43360E+01    0.54224E+01    0.36944E+00
    0.43360E+01    0.58206E+01    0.36763E+00
    0.43360E+01    0.61975E+01    0.36582E+00
    0.43360E+01    0.65489E+01    0.36404E+00
    0.43360E+01    0.68708E+01    0.36234E+00
    0.43360E+01    0.71604E+01    0.36075E+00
    0.43360E+01    0.74148E+01    0.35931E+00
    0.43360E+01    0.76320E+01    0.35805E+00
    0.43360E+01    0.78101E+01    0.35699E+00
    0.43360E+01    0.79476E+01    0.35616E+00
    0.43360E+01    0.80435E+01    0.35558E+00
    0.43360E+01    0.80970E+01    0.35525E+00
    0.43360E+01    0.82342E+01    0.35440E+00
    0.43360E+01    0.87435E+01    0.35114E+00
    0.43360E+01    0.95812E+01    0.34548E+00
    0.43360E+01    0.10654E+02    0.33771E+00
    0.43360E+01    0.11879E+02    0.32824E+00
    0.43360E+01    0.13189E+02    0.31752E+00
    0.43360E+01    0.14536E+02    0.30599E+00
    0.43360E+01    0.15884E+02    0.29411E+00
    0.43360E+01    0.17205E+02    0.28227E+00
    0.43360E+01    0.18478E+02    0.27079E+00
    0.43360E+01    0.19685E+02    0.25994E+00
    0.43360E+01    0.20812E+02    0.24991E+00
    0.43360E+01    0.21847E+02    0.24084E+00
    0.43360E+01    0.22778E+02    0.23282E+00
    0.43360E+01    0.23598E+02    0.22590E+00
    0.43360E+01    0.24298E+02    0.22009E+00
    0.43360E+01    0.24873E+02    0.21541E+00
    0.43360E+01    0.25318E+02    0.21184E+00
    0.43360E+01    0.25628E+02    0.20938E+00
    0.43360E+01    0.25801E+02    0.20802E+00
    0.43360E+01    0.26245E+02    0.20455E+00
    0.43360E+01    0.27897E+02    0.19214E+00
    0.43360E+01    0.30627E+02    0.17329E+00
    0.43360E+01    0.34147E+02    0.15211E+00
    0.43360E+01    0.38201E+02    0.13188E+00
    0.43360E+01    0.42589E+02    0.11431E+00
    0.43360E+01    0.47165E+02    0.99846E-01
    0.43360E+01    0.51817E+02    0.88178E-01
    0.43360E+01    0.56461E+02    0.78760E-01
    0.43360E+01    0.61024E+02    0.71074E-01
    0.43360E+01    0.65445E+02    0.64720E-01
    0.43360E+01    0.69666E+02    0.59421E-01
    0.43360E+01    0.73630E+02    0.54988E-01
    0.43360E+01    0.77284E+02    0.51296E-01
    0.43360E+01    0.80574E+02    0.48252E-01
    0.43360E+01    0.83445E+02    0.45790E-01
    0.43360E+01    0.85848E+02    0.43859E-01
    0.43360E+01    0.87736E+02    0.42419E-01
    0.43360E+01    0.89071E+02    0.41440E-01
    0.43360E+01    0.89823E+02    0.40903E-01
    0.43360E+01    0.90098E+02    0.40709E-01
    0.43360E+01    0.90516E+02    0.40416E-01
    0.43360E+01    0.91257E+02    0.39905E-01
    0.43360E+01    0.92305E+02    0.39198E-01
    0.43360E+01    0.93636E+02    0.38325E-01
    0.43360E+01    0.95220E+02    0.37324E-01
    0.43360E+01    0.97024E+02    0.36230E-01
    0.43360E+01    0.99008E+02    0.35083E-01
    0.43360E+01    0.10113E+03    0.33917E-01
    0.43360E+01    0.10335E+03    0.32765E-01
    0.43360E+01    0.10561E+03    0.31653E-01
    0.43360E+01    0.10788E+03    0.30606E-01
    0.43360E+01    0.11009E+03    0.29640E-01
    0.43360E+01    0.11219E+03    0.28770E-01
    0.43360E+01    0.11414E+03    0.28007E-01
    0.43360E+01    0.11589E+03    0.27358E-01
    0.43360E+01    0.11737E+03    0.26828E-01
    0.43360E+01    0.11856E+03    0.26421E-01
    0.43360E+01    0.11941E+03    0.26137E-01
    0.43360E+01    0.11989E+03    0.25980E-01
    0.43360E+01    0.12011E+03    0.25906E-01
    0.43360E+01    0.12060E+03    0.25750E-01
    0.43360E+01    0.12146E+03    0.25477E-01
    0.43360E+01    0.12270E+03    0.25098E-01
    0.43360E+01    0.12429E+03    0.24628E-01
    0.43360E+01    0.12623E+03    0.24085E-01
    0.43360E+01    0.12848E+03    0.23490E-01
    0.43360E+01    0.13104E+03    0.22861E-01
    0.43360E+01    0.13387E+03    0.22218E-01
    0.43360E+01    0.13696E+03    0.21578E-01
    0.43360E+01    0.14028E+03    0.20957E-01
    0.43360E+01    0.14380E+03    0.20368E-01
    0.43360E+01    0.14750E+03    0.19822E-01
    0.43360E+01    0.15137E+03    0.19327E-01
    0.43360E+01    0.15537E+03    0.18891E-01
    0.43360E+01    0.15949E+03    0.18519E-01
    0.43360E+01    0.16369E+03    0.18213E-01
    0.43360E+01    0.16798E+03    0.17979E-01
    0.43360E+01    0.17230E+03    0.17815E-01
    0.43360E+01    0.17664E+03    0.17724E-01
    0.43860E+01    0.47495E-01    0.51684E+00
    0.43860E+01    0.10875E+00    0.51683E+00
    0.43860E+01    0.16974E+00    0.51682E+00
    0.43860E+01    0.22981E+00    0.51681E+00
    0.43860E+01    0.28857E+00    0.51678E+00
    0.43860E+01    0.34565E+00    0.51676E+00
    0.43860E+01    0.40072E+00    0.51673E+00
    0.43860E+01    0.45343E+00    0.51670E+00
    0.43860E+01    0.50349E+00    0.51667E+00
    0.43860E+01    0.55060E+00    0.51663E+00
    0.43860E+01    0.59448E+00    0.51660E+00
    0.43860E+01    0.63487E+00    0.51656E+00
    0.43860E+01    0.67154E+00    0.51653E+00
    0.43860E+01    0.70427E+00    0.51650E+00
    0.43860E+01    0.73287E+00    0.51647E+00
    0.43860E+01    0.75716E+00    0.51645E+00
    0.43860E+01    0.77702E+00    0.51642E+00
    0.43860E+01    0.79231E+00    0.51641E+00
    0.43860E+01    0.80296E+00    0.51640E+00
    0.43860E+01    0.80890E+00    0.51639E+00
    0.43860E+01    0.82272E+00    0.51637E+00
    0.43860E+01    0.87351E+00    0.51631E+00
    0.43860E+01    0.95702E+00    0.51621E+00
    0.43860E+01    0.10639E+01    0.51606E+00
    0.43860E+01    0.11858E+01    0.51587E+00
    0.43860E+01    0.13160E+01    0.51564E+00
    0.43860E+01    0.14498E+01    0.51539E+00
    0.43860E+01    0.15834E+01    0.51511E+00
    0.43860E+01    0.17141E+01    0.51481E+00
    0.43860E+01    0.18399E+01    0.51450E+00
    0.43860E+01    0.19590E+01    0.51419E+00
    0.43860E+01    0.20699E+01    0.51389E+00
    0.43860E+01    0.21716E+01    0.51359E+00
    0.43860E+01    0.22630E+01    0.51331E+00
    0.43860E+01    0.23433E+01    0.51306E+00
    0.43860E+01    0.24118E+01    0.51283E+00
    0.43860E+01    0.24680E+01    0.51265E+00
    0.43860E+01    0.25114E+01    0.51250E+00
    0.43860E+01    0.25417E+01    0.51239E+00
    0.43860E+01    0.25586E+01    0.51233E+00
    0.43860E+01    0.26019E+01    0.51218E+00
    0.43860E+01    0.27625E+01    0.51159E+00
    0.43860E+01    0.30267E+01    0.51055E+00
    0.43860E+01    0.33648E+01    0.50908E+00
    0.43860E+01    0.37504E+01    0.50723E+00
    0.43860E+01    0.41625E+01    0.50504E+00
    0.43860E+01    0.45857E+01    0.50257E+00
    0.43860E+01    0.50085E+01    0.49988E+00
    0.43860E+01    0.54224E+01    0.49704E+00
    0.43860E+01    0.58206E+01    0.49413E+00
    0.43860E+01    0.61975E+01    0.49121E+00
    0.43860E+01    0.65489E+01    0.48834E+00
    0.43860E+01    0.68708E+01    0.48560E+00
    0.43860E+01    0.71604E+01    0.48304E+00
    0.43860E+01    0.74148E+01    0.48073E+00
    0.43860E+01    0.76320E+01    0.47870E+00
    0.43860E+01    0.78101E+01    0.47701E+00
    0.43860E+01    0.79476E+01    0.47568E+00
    0.43860E+01    0.80435E+01    0.47474E+00
    0.43860E+01    0.80970E+01    0.47421E+00
    0.43860E+01    0.82342E+01    0.47285E+00
    0.43860E+01    0.87435E+01    0.46764E+00
    0.43860E+01    0.95812E+01    0.45861E+00
    0.43860E+01    0.10654E+02    0.44629E+00
    0.43860E+01    0.11879E+02    0.43134E+00
    0.43860E+01    0.13189E+02    0.41452E+00
    0.43860E+01    0.14536E+02    0.39661E+00
    0.43860E+01    0.15884E+02    0.37831E+00
    0.43860E+01    0.17205E+02    0.36022E+00
    0.43860E+01    0.18478E+02    0.34287E+00
    0.43860E+01    0.19685E+02    0.32662E+00
    0.43860E+01    0.20812E+02    0.31174E+00
    0.43860E+01    0.21847E+02    0.29841E+00
    0.43860E+01    0.22778E+02    0.28671E+00
    0.43860E+01    0.23598E+02    0.27669E+00
    0.43860E+01    0.24298E+02    0.26834E+00
    0.43860E+01    0.24873E+02    0.26165E+00
    0.43860E+01    0.25318E+02    0.25657E+00
    0.43860E+01    0.25628E+02    0.25308E+00
    0.43860E+01    0.25801E+02    0.25115E+00
    0.43860E+01    0.26245E+02    0.24627E+00
    0.43860E+01    0.27897E+02    0.22891E+00
    0.43860E+01    0.30627E+02    0.20309E+00
    0.43860E+01    0.34147E+02    0.17488E+00
    0.43860E+01    0.38201E+02    0.14880E+00
    0.43860E+01    0.42589E+02    0.12692E+00
    0.43860E+01    0.47165E+02    0.10944E+00
    0.43860E+01    0.51817E+02    0.95684E-01
    0.43860E+01    0.56461E+02    0.84761E-01
    0.43860E+01    0.61024E+02    0.75939E-01
    0.43860E+01    0.65445E+02    0.68695E-01
    0.43860E+01    0.69666E+02    0.62681E-01
    0.43860E+01    0.73630E+02    0.57672E-01
    0.43860E+01    0.77284E+02    0.53516E-01
    0.43860E+01    0.80574E+02    0.50104E-01
    0.43860E+01    0.83445E+02    0.47356E-01
    0.43860E+01    0.85848E+02    0.45209E-01
    0.43860E+01    0.87736E+02    0.43612E-01
    0.43860E+01    0.89071E+02    0.42530E-01
    0.43860E+01    0.89823E+02    0.41937E-01
    0.43860E+01    0.90098E+02    0.41723E-01
    0.43860E+01    0.90516E+02    0.41400E-01
    0.43860E+01    0.91257E+02    0.40837E-01
    0.43860E+01    0.92305E+02    0.40059E-01
    0.43860E+01    0.93636E+02    0.39102E-01
    0.43860E+01    0.95220E+02    0.38004E-01
    0.43860E+01    0.97024E+02    0.36810E-01
    0.43860E+01    0.99008E+02    0.35561E-01
    0.43860E+01    0.10113E+03    0.34296E-01
    0.43860E+01    0.10335E+03    0.33049E-01
    0.43860E+01    0.10561E+03    0.31851E-01
    0.43860E+01    0.10788E+03    0.30726E-01
    0.43860E+01    0.11009E+03    0.29692E-01
    0.43860E+01    0.11219E+03    0.28764E-01
    0.43860E+01    0.11414E+03    0.27952E-01
    0.43860E+01    0.11589E+03    0.27263E-01
    0.43860E+01    0.11737E+03    0.26702E-01
    0.43860E+01    0.11856E+03    0.26271E-01
    0.43860E+01    0.11941E+03    0.25972E-01
    0.43860E+01    0.11989E+03    0.25805E-01
    0.43860E+01    0.12011E+03    0.25727E-01
    0.43860E+01    0.12060E+03    0.25563E-01
    0.43860E+01    0.12146E+03    0.25275E-01
    0.43860E+01    0.12270E+03    0.24876E-01
    0.43860E+01    0.12429E+03    0.24383E-01
    0.43860E+01    0.12623E+03    0.23814E-01
    0.43860E+01    0.12848E+03    0.23191E-01
    0.43860E+01    0.13104E+03    0.22535E-01
    0.43860E+01    0.13387E+03    0.21867E-01
    0.43860E+01    0.13696E+03    0.21203E-01
    0.43860E+01    0.14028E+03    0.20561E-01
    0.43860E+01    0.14380E+03    0.19953E-01
    0.43860E+01    0.14750E+03    0.19391E-01
    0.43860E+01    0.15137E+03    0.18883E-01
