x	 y	 value	 error
-0.504630	 0.560719	 0.426705	 0.051411
0.493506	 0.284723	 0.558448	 0.103976
0.165824	 0.847406	 0.661356	 0.104512
0.265275	 -0.881765	 0.453875	 0.045906
-0.632338	 -0.786820	 0.443628	 0.079439
0.653204	 0.631762	 0.528433	 0.070816
0.616019	 0.502425	 0.517523	 0.098462
-0.891551	 0.561951	 0.241443	 0.034440
-0.181630	 -0.188454	 1.010955	 0.174154
0.780078	 -0.810019	 0.526603	 0.069105
0.710921	 -0.791879	 0.450085	 0.082400
0.763517	 0.303643	 0.523469	 0.096923
0.611065	 0.660847	 0.517241	 0.061582
0.777859	 0.063021	 0.618761	 0.090346
0.867342	 0.221411	 0.783415	 0.083159
0.671945	 0.643998	 -0.023256	 -0.003290
-0.863723	 -0.173459	 0.686755	 0.116059
-0.807372	 -0.910752	 0.227378	 0.035159
-0.884673	 -0.008695	 0.314627	 0.060865
-0.965735	 0.332253	 0.163611	 0.026036
0.987439	 0.907598	 0.220010	 0.023760
0.618796	 0.365709	 0.322413	 0.037377
0.743037	 -0.676395	 0.210235	 0.033389
-0.183061	 -0.226711	 0.910634	 0.111113
-0.801371	 0.119233	 0.521714	 0.078656
0.689068	 -0.211260	 0.471538	 0.084540
0.249825	 0.360435	 0.914464	 0.106808
-0.510494	 -0.663969	 0.815555	 0.117021
-0.989426	 0.012090	 0.394472	 0.053255
0.769863	 0.944489	 0.397435	 0.074709
0.884609	 -0.345795	 0.647451	 0.088100
0.459194	 0.702085	 0.456590	 0.075586
0.830158	 0.513030	 0.480858	 0.056782
0.798901	 -0.864886	 0.123331	 0.015458
0.293022	 0.556278	 0.880624	 0.155028
-0.068293	 0.838755	 0.278206	 0.040544
0.889178	 -0.050633	 0.593802	 0.077554
-0.101784	 0.562249	 0.578263	 0.083602
-0.824635	 -0.637750	 0.146242	 0.020894
0.139149	 0.359748	 0.907769	 0.105537
-0.198513	 0.579378	 0.761943	 0.097978
0.568893	 -0.605635	 0.677969	 0.090630
-0.843476	 0.031525	 0.608046	 0.091545
-0.794839	 -0.201696	 0.690194	 0.127379
0.107223	 -0.697021	 0.620908	 0.071951
0.708227	 -0.590934	 0.364293	 0.045572
-0.968594	 -0.901535	 0.312661	 0.048549
0.935557	 -0.368079	 0.006433	 0.000655
-0.333279	 0.226487	 0.450766	 0.073366
-0.940687	 -0.446999	 0.728876	 0.126050
-0.072373	 0.509345	 0.747260	 0.121002
0.121234	 -0.814673	 0.542043	 0.081621
0.785102	 -0.762260	 0.090147	 0.009858
-0.784994	 0.083045	 0.383730	 0.053761
-0.748847	 0.458389	 0.619127	 0.106966
-0.215257	 0.511420	 0.835770	 0.121661
0.194536	 0.707659	 0.832936	 0.157060
0.985600	 -0.231110	 0.118069	 0.012824
-0.961764	 0.347232	 0.672064	 0.112398
-0.899605	 0.118564	 0.370625	 0.042611
-0.863597	 0.153998	 0.346873	 0.049233
0.821643	 0.300002	 0.429069	 0.058892
-0.637035	 -0.515823	 0.395272	 0.049281
0.499559	 -0.802468	 0.615926	 0.080354
0.037508	 -0.732191	 0.364681	 0.070254
-0.593933	 0.411978	 0.177320	 0.033036
-0.825726	 -0.224553	 0.327631	 0.058776
-0.328714	 -0.761510	 0.502167	 0.081944
-0.505038	 0.969584	 0.296316	 0.033620
-0.093630	 -0.550502	 0.709684	 0.136166
0.159319	 -0.395195	 0.418032	 0.057872
0.404274	 0.256054	 0.748156	 0.088279
-0.936916	 0.415018	 0.000331	 0.000045
0.088109	 0.125503	 1.189106	 0.140632
0.638812	 0.542349	 0.352664	 0.058095
0.336730	 -0.495746	 0.356640	 0.062987
0.706368	 0.921385	 0.200841	 0.034215
-0.713363	 -0.790501	 0.198685	 0.035924
-0.795275	 0.252480	 0.752199	 0.081184
-0.989783	 -0.377234	 0.416132	 0.068329
-0.761864	 0.608419	 0.256754	 0.042914
-0.301940	 -0.359771	 0.964763	 0.116073
-0.672636	 0.213387	 0.547043	 0.074600
-0.619921	 -0.563879	 0.513484	 0.081625
-0.075066	 -0.141971	 1.088636	 0.200202
-0.025721	 0.914446	 0.433577	 0.061798
0.339059	 -0.264112	 0.906669	 0.129955
-0.519874	 -0.825824	 0.700684	 0.138845
-0.643166	 -0.327194	 0.614179	 0.121759
0.974808	 -0.656340	 0.015415	 0.001557
-0.355896	 -0.619654	 0.562721	 0.086392
-0.925343	 -0.165787	 0.236124	 0.037269
0.935077	 0.438015	 -0.036613	 -0.006349
-0.228597	 0.305532	 0.988357	 0.106881
0.505612	 -0.037654	 0.904206	 0.178699
-0.327474	 -0.751300	 0.211863	 0.030277
0.247113	 -0.552405	 0.742142	 0.130286
-0.582863	 -0.655512	 0.540861	 0.093675
0.677339	 0.542352	 0.746204	 0.117392
-0.801086	 0.530551	 0.863329	 0.135355
